,CENEFA,Longitud,Latitud
1019,058A02,-74.0627,4.696541000000002
1020,056A02,-74.0628,4.692293
1021,054A02,-74.0628,4.689646
1022,136B02,-74.0643,4.689009
1023,173B03,-74.0674,4.689780000000002
1024,001B03,-74.0707,4.689686
1025,174B03,-74.0736,4.688475
1026,175C03,-74.0753,4.687162
1027,176C03,-74.0782,4.6848410000000005
1028,105C04,-74.0798,4.683552
1029,104C04,-74.0821,4.6816330000000015
1030,102C04,-74.0842,4.68001
1031,125C05,-74.0867,4.676533
1032,123C05,-74.0888,4.673058
1033,120C05,-74.0914,4.669233
1034,119C05,-74.0959,4.663394
1035,210C05,-74.0971,4.662008
1036,117C05,-74.0991,4.65935
1037,115C05,-74.1018,4.655911
1038,132A06,-74.1052,4.65157
1039,065C06,-74.1064,4.649857
1040,129C06,-74.1092,4.64656
1041,190C06,-74.1111,4.644677
1042,002C06,-74.1141,4.641693
1043,001C06,-74.1172,4.638634
1044,095C07,-74.1191,4.636743
1045,072C07,-74.1204,4.634182
1046,096C07,-74.1213,4.6320169999999985
1047,097C07,-74.1231,4.627729
1048,098C07,-74.1248,4.623132
1049,001C08,-74.1258,4.6202
1050,501C08,-74.1268,4.616996
1051,155C08,-74.1275,4.614736
1052,162C08,-74.1286,4.611281
1053,088C09,-74.1299,4.607921
1054,114B09,-74.1313,4.605705
1055,510B09,-74.1326,4.603767
1056,086B09,-74.1333,4.602703
1057,084B09,-74.1353,4.5997949999999985
1058,001B09,-74.1364,4.598076
1059,302B10,-74.138,4.594002
1060,032B10,-74.1386,4.591332
1061,048B10,-74.1385,4.58906
1062,034B10,-74.1368,4.5857470000000005
1063,145A10,-74.1351,4.58281
1064,143A10,-74.1338,4.581506
1065,148A10,-74.1323,4.579907
1066,070A11,-74.1317,4.579259
1067,069B11,-74.1311,4.577731
1068,068B11,-74.1304,4.575918
1069,067B11,-74.1295,4.572712
1070,076A11,-74.13,4.570681
1071,079A11,-74.1334,4.569343
