cenefa,count,lat,lon,cluster
122A01,48,4.68661295173,-74.0548531696,4.0
242A01,47,4.68628228436,-74.0529690031,4.0
569A09,40,4.6137504568,-74.1753260687,0.0
051A09,38,4.60785994981,-74.1838748347,0.0
245A01,38,4.71210862705,-74.0294100702,4.0
158A01,37,4.68576073057,-74.0498885748,4.0
104A04,35,4.6814582843,-74.0824493358,4.0
070A05,35,4.7092025973,-74.1426028813,0.0
102A09,34,4.60922594914,-74.1806938348,0.0
101A09,33,4.61220978313,-74.1773588342,0.0
140A00,33,4.61905361594,-74.0692218355,0.0
032A06,33,4.62649522988,-74.0947054586,0.0
028A07,33,4.62569478331,-74.0957158356,0.0
106A08,32,4.6234392829,-74.1538103349,0.0
054A09,32,4.61025755066,-74.1790214759,0.0
138A00,32,4.62087344981,-74.0710833361,0.0
110A05,31,4.71126215816,-74.1440254967,0.0
610A09,31,4.61358119436,-74.1759263872,0.0
078A02,31,4.71136428515,-74.0690146694,4.0
511A09,31,4.6076027522,-74.182463775,0.0
150A02,30,4.71102545183,-74.0682461695,4.0
033A06,30,4.62694761679,-74.0986065021,0.0
100A09,30,4.61198961645,-74.1773283344,0.0
221A05,30,4.7107062425,-74.1372352822,0.0
067A05,30,4.71058518495,-74.1397854978,0.0
102A04,30,4.67930358224,-74.0850289622,4.0
146A01,30,4.76423817553,-74.0438361154,1.0
040A07,30,4.64953261681,-74.1464988354,0.0
182A01,29,4.70387846791,-74.0420723523,4.0
274A01,29,4.77202178706,-74.0426400025,4.0
470A05,28,4.70819779609,-74.1352041904,0.0
029A07,28,4.62622711634,-74.1005376691,0.0
149A02,28,4.71061837396,-74.0680329293,4.0
184A01,28,4.70443595156,-74.0438596698,4.0
186A01,28,4.70455745154,-74.045096503,4.0
202A08,28,4.6222719514,-74.1506782118,0.0
096B09,28,4.60720461043,-74.1271681404,0.0
520A09,28,4.60734314967,-74.18256963,0.0
076A11,28,4.57066978188,-74.1300416681,0.0
026A07,28,4.62494594944,-74.0877155027,0.0
060A11,28,4.57855111515,-74.127989335,4.0
089A02,28,4.76441428664,-74.0447003363,4.0
188A01,28,4.70529511832,-74.0475651694,4.0
105A04,27,4.68321928424,-74.0802761693,4.0
168A01,27,4.69173593604,-74.0339868449,4.0
246A01,27,4.71123166674,-74.0289602118,4.0
157A01,27,4.68627728484,-74.0354266697,4.0
172A00,27,4.61255822551,-74.086514264,0.0
191A08,27,4.62325486362,-74.154205624,0.0
230A01,27,4.74128864746,-74.0221684824,4.0
148A02,27,4.71111045173,-74.0695376691,4.0
022A06,27,4.63945861731,-74.1209578348,0.0
243A01,27,4.7158116426,-74.0286205141,4.0
364A07,26,4.6547582418,-74.1409205553,0.0
181A01,26,4.70394695187,-74.0379396697,4.0
239A01,26,4.72205378556,-74.0259863369,4.0
117A08,26,4.62014344986,-74.1419416685,0.0
250A01,26,4.70576321575,-74.0284004005,4.0
252A01,26,4.70328431361,-74.0285695605,4.0
233A01,26,4.73481611878,-74.024486003,4.0
027A07,26,4.62534444976,-74.0919973359,0.0
167A01,26,4.68880271869,-74.0350149714,4.0
350A07,26,4.62497928289,-74.0854733359,0.0
248A01,26,4.70955578531,-74.0285695027,4.0
226A00,26,4.65784295077,-74.0583556696,4.0
218A00,26,4.68090195107,-74.0443793364,4.0
241A01,26,4.71981745241,-74.0271451697,4.0
106A13,26,4.57243940934,-74.0912553451,0.0
174A01,26,4.70030410448,-74.0288686591,4.0
564A08,26,4.6236105324,-74.1555908347,0.0
585A08,26,4.62161811644,-74.1434748346,0.0
584A08,26,4.62130906801,-74.1435163115,0.0
404A05,25,4.70662178544,-74.1336658352,0.0
068A05,25,4.71285776122,-74.1433183586,0.0
021A06,25,4.64445628354,-74.1239671685,0.0
249A01,25,4.70615753365,-74.0286547236,4.0
178A01,25,4.70400312053,-74.0361417651,4.0
154A00,25,4.60961911652,-74.088461669,4.0
110A06,25,4.64705441348,-74.1247439527,0.0
251A01,25,4.70378900354,-74.0288110001,4.0
043A01,25,4.74464195295,-74.0221816695,4.0
213A00,25,4.68535161842,-74.0501815027,4.0
232A00,25,4.64745666802,-74.0639167056,0.0
047A01,25,4.7138386192,-74.0289182225,4.0
107A08,25,4.62360695011,-74.1495421683,0.0
006A02,25,4.7101837857,-74.0662728357,4.0
125A08,25,4.62332944973,-74.1524108346,0.0
122A08,25,4.62315611621,-74.1452103351,0.0
215A00,24,4.68320511821,-74.0450023362,4.0
049A01,24,4.68906937497,-74.0344688261,4.0
015A08,24,4.60378294937,-74.1204768352,0.0
159A00,24,4.61281621533,-74.0849288269,0.0
236B00,24,4.62830768841,-74.0671278139,0.0
285A08,24,4.63367004099,-74.1984436585,0.0
274A09,24,4.63056119033,-74.1967825873,0.0
280A01,24,4.69503728284,-74.0433198772,4.0
056A07,24,4.64786128334,-74.127869168,4.0
549A08,24,4.62379078334,-74.1461321682,0.0
247A01,24,4.70875328536,-74.0287753364,4.0
173A01,24,4.69816895132,-74.0304058361,4.0
331A07,24,4.64570261731,-74.1304786681,4.0
089A00,24,4.62441311633,-74.0776711693,0.0
020A10,24,4.57896594858,-74.1271771688,2.0
165A01,24,4.6841191184,-74.0362971693,4.0
208B08,24,4.60698343286,-74.1265195821,4.0
123A01,24,4.69643608368,-74.0317269346,4.0
052A09,24,4.60688716783,-74.1845980949,0.0
020A07,24,4.64048261728,-74.1230005017,0.0
227B00,24,4.65643250473,-74.0593615095,4.0
104B09,24,4.61900916807,-74.1439294872,0.0
264A01,24,4.71539416849,-74.0289248807,4.0
117D05,24,4.65989111742,-74.0987296688,2.0
238B01,24,4.72215950494,-74.0263151718,2.0
534A09,24,4.62987927118,-74.2056184401,4.0
170A01,24,4.6948261261,-74.0328354674,4.0
281A01,24,4.69827178454,-74.0429785033,4.0
131A08,24,4.61872178299,-74.1635181681,0.0
200A00,24,4.60563533136,-74.091299908,0.0
164A01,24,4.68119562917,-74.0376500334,4.0
041A07,24,4.64279295022,-74.1239681686,0.0
235B00,24,4.63176192627,-74.0665756963,0.0
288A08,24,4.63439095017,-74.1987148344,0.0
018A01,24,4.70163328477,-74.0427870025,4.0
237B00,24,4.6266187988,-74.0674344087,0.0
166A01,24,4.68607615949,-74.0351054674,4.0
344B07,23,4.64598502397,-74.131146622,4.0
384A00,23,4.62763746551,-74.0652552112,4.0
568A09,23,4.60703694946,-74.128111502,0.0
237A01,23,4.72485111872,-74.0250320034,4.0
073A07,23,4.64599695011,-74.1245798348,0.0
182B08,23,4.61712545427,-74.1534837466,0.0
033A10,23,4.59131394863,-74.1384375019,0.0
035A10,23,4.58545494905,-74.1360408355,0.0
182A03,23,4.7378384597,-74.0845778434,4.0
660A01,23,4.72679849692,-74.0246490781,4.0
048A01,23,4.69246711787,-74.0334308359,4.0
176A01,23,4.70289075712,-74.0307018038,4.0
279A01,23,4.69190396154,-74.0449701007,4.0
125B04,23,4.70559864253,-74.1184624165,0.0
010A08,23,4.61370734507,-74.115085301,0.0
238B00,23,4.61881513256,-74.0687130947,0.0
211A00,23,4.6872361179,-74.0596093356,4.0
150A08,23,4.62410969832,-74.1568169147,0.0
127A08,23,4.62187419962,-74.1588293073,0.0
014A08,23,4.60567378236,-74.1194438348,0.0
031A10,23,4.59405678234,-74.1378698348,0.0
232A01,23,4.73780578583,-74.0227095033,4.0
206A08,23,4.60385544937,-74.1230013354,0.0
049A10,23,4.58819928251,-74.1375236679,0.0
096D07,23,4.63236578324,-74.1212081681,0.0
383A00,23,4.63043024692,-74.0644388742,4.0
277A01,23,4.68688567794,-74.047592092,4.0
275A09,23,4.63090811696,-74.1968476682,0.0
047A00,23,4.65166411694,-74.0620468358,4.0
340A07,23,4.63886236272,-74.1210829147,0.0
244A01,22,4.71333208339,-74.0293493629,4.0
012A08,22,4.61013031916,-74.116933228,0.0
007A02,22,4.71142395209,-74.0711110021,4.0
172A05,22,4.70185495185,-74.1143070023,0.0
228B00,22,4.65470132874,-74.0605439928,4.0
130B06,22,4.64940978373,-74.1064138349,0.0
103B09,22,4.61679234643,-74.1538467981,0.0
173A05,22,4.70482645198,-74.1178021688,0.0
151A02,22,4.70942219781,-74.0657269235,4.0
182A00,22,4.62381501011,-74.0740542031,0.0
124B04,22,4.70211990153,-74.1143998678,0.0
052A08,22,4.63830345057,-74.1554221679,4.0
055B07,22,4.64809956747,-74.1284710169,4.0
278A01,22,4.69017861786,-74.0459776694,4.0
198A00,22,4.63742167462,-74.0656054962,0.0
001A00,22,4.68849695159,-74.0639818355,4.0
234A00,22,4.63327374199,-74.0662835643,0.0
279A09,22,4.62880142177,-74.1946919295,0.0
098A00,22,4.6440269844,-74.0643956402,0.0
126B04,22,4.70780069839,-74.1211000834,0.0
149A08,22,4.62415994982,-74.1569746679,0.0
074A11,22,4.57181797942,-74.1285799395,4.0
276A09,22,4.62903157461,-74.1960087541,0.0
126A08,22,4.62277111658,-74.1582555015,0.0
115D05,22,4.65645645102,-74.101356335,0.0
090A00,22,4.62420128352,-74.0759403362,0.0
031A09,22,4.62950128392,-74.1929840933,
129A08,22,4.62032694974,-74.1608015017,0.0
